SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,100.5646,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,100.3466,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,5/19/2019,5/19/2019,IDX,Index,0,Units,,,100.1588,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,6/19/2019,6/19/2019,IDX,Index,0,Units,,,99.98627,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,7/19/2019,7/19/2019,IDX,Index,0,Units,,,99.90899,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,8/19/2019,8/19/2019,IDX,Index,0,Units,,,99.81123,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,100.4908,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,100.5804,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,100.6292,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,100.665,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,100.7312,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,100.8518,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,100.9645,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,100.9719,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,100.8003,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,100.5634,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,100.4101,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,100.4381,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,100.5229,,
