COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
IRL,Ireland,1741,47244.93408,64515.5,3.18413E+11,31.8,0,68.25311366,0.8,2015,6.830125332,11.01564217,0.95294255,72,0.892276943,0.227882653,0.408756912,0.7993204,0.225349247,0.571841061,1.121519446,1.685622692,1.771659613,0.259389043,0.318,0.326153846,0.393113405,,,,,,,
ISL,Iceland,1504,53261.71745,8458.4,15682299357,0,0,3.299900249,0.8,2015,7.498070717,10.67007351,0.980283201,73,0.94048512,0.298925996,0.638661802,0.849020839,0.179504439,0.427228123,1.342286825,1.593127012,1.687232494,0.225022212,,0.280833333,0.391596675,,,,,,,
ISR,Israel,1895.41,34481.71807,92236.3,2.78049E+11,0,0,387.2504621,1,2015,7.07941103,10.37425232,0.864130199,72.69999695,0.752783954,0.105966061,0.789429903,0.696547687,0.256258249,0.405343235,-0.175023496,1.19148016,1.779918075,0.251421779,,0.4112,0.29365477,,,,,0.230252102,,
ITA,Italy,1718,37793.07676,1297397.6,2.06237E+12,35.4,0,206.4682872,0.8,2015,5.847683907,10.44295979,0.908986509,73,0.574765742,-0.066691227,0.912753046,0.691772103,0.329209089,0.260625869,0.705309868,0.367061794,1.670852304,0.285728902,0.354,0.344,0.406529307,,,,,,0.282520324,
JPN,Japan,1719,39591.57293,2585715.5,5.99641E+12,0,0,348.7519201,0.8,2015,5.879684448,10.54225731,0.922657192,74.69999695,0.831694186,-0.166381299,0.654443085,0.768090606,0.176408634,0.352867216,1.02655673,1.522612214,1.80760932,0.307433039,,0.321,0.443165004,,0.407622576,0.375865489,,0.396475762,0.3658759,0.359394193
LTU,Lithuania,1622,22741.69964,91558.2,44681433749,37.4,0,46.36727853,1.7,2015,5.711378098,10.20528412,0.92852354,65.5,0.641470194,-0.257858634,0.92417407,0.594609678,0.276451677,0.367034554,0.866817832,1.021977663,1.917049885,0.335654527,0.374,0.355,0.34593156,,,,0.213082254,,,
LUX,Luxembourg,1514,64551.54632,11955.2,61081638753,33.8,0,234.4049383,0.5,2015,6.701571465,11.45199203,0.933604598,72.59999847,0.932256401,0.046507813,0.37539047,0.757444561,0.19305034,0.694678366,1.493052721,1.838429928,1.505815864,0.224695936,0.338,0.316076923,0.29204455,,,,,,,
LVA,Latvia,1708,22295.31473,64266.6,28247565849,34.2,0,31.80326472,1.6,2015,5.880597591,10.04406738,0.879372418,65.90000153,0.65639317,-0.080376849,0.808400393,0.608379602,0.22813718,0.298912108,0.645110488,0.860310078,1.725923061,0.293494493,0.342,0.360333333,0.368298113,,,,0.239166662,,,
MEX,Mexico,2140,16231.22549,1285798.3,1.22312E+12,0,94.47228241,64.76038427,2.6,2015,6.236287117,9.737350464,0.760614276,67.40000153,0.719465971,-0.154544055,0.707971931,0.74482131,0.237188041,0.256193161,-0.437031597,-0.161394864,2.147255182,0.344316274,,0.4698,0.335662574,,0.176534802,0.305610567,0.294242173,0.207957417,0.154983923,0.124062032
NLD,Netherlands,1426,54892.58871,299182.4,8.78701E+11,28.2,0,502.8175423,0.8,2015,7.324437141,10.74708652,0.879010439,72,0.903978765,0.255913168,0.41182211,0.834133685,0.202128634,0.579621017,1.243579149,1.865079641,1.447880387,0.197678044,0.282,0.286333333,0.421282858,,,,,,0.435723454,0.661756992
NOR,Norway,1423.9,50994.10315,85892.4,4.67661E+11,27.5,0,14.21057257,0.7,2015,7.603433609,11.06676769,0.946833968,72.90000153,0.947620511,0.238337234,0.298814356,0.842887521,0.209409878,0.586871624,1.424758792,1.931402802,1.675640464,0.220379442,0.275,0.272230769,0.37180686,,,,0.647737384,,0.737304688,
POL,Poland,1834,24726.12542,796000.1,5.56287E+11,31.8,0,124.0615696,1.1,2015,6.007021904,10.13855839,0.893090427,68.09999847,0.793462157,-0.099409871,0.810096323,0.73438257,0.240432039,0.211427912,0.957257986,0.817674637,1.87694037,0.312457711,,,0.36295557,,,0.344665885,0.169124022,,0.181796342,0.222115889
PRT,Portugal,1722,25307.31462,223374.4,2.28052E+11,35.5,0,113.0725249,0.9,2015,5.080866337,10.18896103,0.866213858,71.80000305,0.800440311,-0.165296271,0.941050768,0.657176316,0.370736867,0.217742205,1.023220062,1.072187662,2.316053867,0.455838382,0.355,0.367538462,0.4268094,,,,,,,
SVN,Slovenia,1687.8,34933.64773,44984.3,48969999339,25.4,0,102.4461087,0.8,2015,5.740642071,10.27635193,0.901163757,70.19999695,0.896007299,0.005252473,0.892197907,0.659085035,0.26141873,0.202604815,0.970074892,0.836637795,2.051262617,0.357322842,0.254,0.2495,0.404867083,,,,0.1529295,,0.175898924,0.199812382
SWE,Sweden,1471,43159.39234,187002.5,5.43061E+11,29.2,0,24.05829958,0.8,2015,7.28892231,10.72939968,0.929459989,72.30000305,0.935072064,0.204892784,0.231964141,0.817941964,0.190991774,0.49930203,1.256156087,1.977543712,1.626471519,0.223142937,0.292,0.274153846,0.365593165,,0.570789635,,0.565906823,0.637184501,0.679727852,0.607827246
USA,United States,1785,62106.29523,5430335,1.67105E+13,0,0,35.06373087,1.3,2015,6.863946915,10.8781538,0.903571069,68.59999847,0.848753452,0.210956484,0.697542608,0.813907623,0.274687767,0.346936464,0.893903494,1.428244591,1.953669667,0.284627736,,0.408166667,0.649792492,,0.453547865,,0.349512935,0.35518533,0.393451452,0.351394504
AUS,Australia,1683.27,54391.75744,311105.8,1.28206E+12,35.8,0,3.055814795,0,2014,7.288550377,10.68160057,0.92379874,72.59999847,0.922932267,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.795415401,0.246333674,,0.34275,0.451516807,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1516,50082.84861,161495.7,4.08881E+11,30.5,0,103.5633242,0,2014,6.949999809,10.69920254,0.898920476,71.95999908,0.885026872,0.115640186,0.566931307,0.779692769,0.17014955,0.407695413,1.331010818,1.621878743,1.836291671,0.264214635,0.305,0.302692308,0.344870776,,,,,,,
BEL,Belgium,1545,52514.32761,214591.7,5.00592E+11,28.1,0,370.180218,0,2014,6.855329037,10.63007927,0.943549156,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.469111621,1.033804297,1.40902257,1.681074142,0.245221511,0.281,0.284307692,0.402563632,,,,,,,
CAN,Canada,1710,48717.52776,521994.3,1.78465E+12,0,0,3.907770267,0,2014,7.30425787,10.67079449,0.917836308,72.83999634,0.93889761,0.262353837,0.441735327,0.833403885,0.258602411,0.516953588,1.293931961,1.833163381,1.759425759,0.240876734,,0.3368,0.679011106,,,,,0.385469198,0.418500453,
CHE,Switzerland,1575.3,64284.54003,132020.7,6.25702E+11,32.5,0,207.2236258,0,2014,7.492803574,10.95462418,0.958796322,73.05999756,0.949401438,0.054532632,0.283089578,0.822913229,0.188794166,0.75163132,1.481070995,2.016315699,1.524784923,0.203499913,0.325,0.3281,0.328428507,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1990,26803.54588,208044.3,2.58594E+11,0,0,23.68936005,0,2014,6.844238281,10.00763416,0.861552179,69.45999908,0.733326375,0.20803766,0.758497715,0.86981076,0.276103258,0.399530023,0.751715839,1.39434886,2.064368248,0.301621318,,0.491571429,0.426405013,,,0.220666662,0.213770002,0.221766666,0.124709077,0.126401633
CZE,Czech Republic,1777,23324.26132,217216.4,2.14124E+11,25.9,0,136.30338,0,2014,6.483729839,10.27916718,0.877915204,68.66000366,0.800421,-0.169764236,0.896880686,0.678406954,0.235220566,0.339732826,1.008328915,0.885882437,2.031708002,0.31335482,0.259,0.264166667,0.244812816,,,0.302275181,0.285191953,,,
